RI,table,variable,type
ACTRIS,actris-in-situ,particle_number_concentration_perc8413,double
ACTRIS,actris-in-situ,D,double
ACTRIS,actris-in-situ,particle_number_size_distribution,double
ACTRIS,actris-in-situ,pm1_mass,double
ACTRIS,actris-in-situ,pm25_mass,double
ACTRIS,actris-in-situ,chromium_amean,double
ACTRIS,actris-in-situ,chromium_uncertainty,double
ACTRIS,actris-in-situ,PFOSA,double
ACTRIS,actris-in-situ,SS,double
ACTRIS,actris-in-situ,cloud_condensation_nuclei_number_concentration_amean,double
ACTRIS,actris-in-situ,cloud_condensation_nuclei_number_concentration_uncertainty,double
ACTRIS,actris-in-situ,antimony_amean,double
ACTRIS,actris-in-situ,antimony_det_lim,double
ACTRIS,actris-in-situ,arsenic_amean,double
ACTRIS,actris-in-situ,arsenic_det_lim,double
ACTRIS,actris-in-situ,cadmium_amean,double
ACTRIS,actris-in-situ,cadmium_det_lim,double
ACTRIS,actris-in-situ,copper_amean,double
ACTRIS,actris-in-situ,copper_det_lim,double
ACTRIS,actris-in-situ,iron_amean,double
ACTRIS,actris-in-situ,iron_det_lim,double
ACTRIS,actris-in-situ,lead_amean,double
ACTRIS,actris-in-situ,lead_det_lim,double
ACTRIS,actris-in-situ,manganese_amean,double
ACTRIS,actris-in-situ,manganese_det_lim,double
ACTRIS,actris-in-situ,molybdenum_amean,double
ACTRIS,actris-in-situ,molybdenum_det_lim,double
ACTRIS,actris-in-situ,nickel_amean,double
ACTRIS,actris-in-situ,nickel_det_lim,double
ACTRIS,actris-in-situ,selenium_amean,double
ACTRIS,actris-in-situ,selenium_det_lim,double
ACTRIS,actris-in-situ,thallium_amean,double
ACTRIS,actris-in-situ,thallium_det_lim,double
ACTRIS,actris-in-situ,vanadium_amean,double
ACTRIS,actris-in-situ,vanadium_det_lim,double
ACTRIS,actris-in-situ,zinc_amean,double
ACTRIS,actris-in-situ,zinc_det_lim,double
ACTRIS,actris-in-situ,particle_number_size_distribution_amean,double
ACTRIS,actris-in-situ,particle_number_size_distribution_prec1587,double
ACTRIS,actris-in-situ,particle_number_size_distribution_perc8413,double
ACTRIS,actris-in-situ,2-methylbutane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,2-methylbutane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,2-methylbutane_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,2-methylbutane_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,2-methylbutane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,2-methylbutane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,2-methylpropane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,2-methylpropane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,2-methylpropane_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,2-methylpropane_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,2-methylpropane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,2-methylpropane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,benzene_ng_per_m3_amean,double
ACTRIS,actris-in-situ,benzene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,benzene_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,benzene_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,benzene_ng_per_m3_precision,double
ACTRIS,actris-in-situ,benzene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,ethane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,ethane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,ethane_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,ethane_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,ethane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,ethane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,ethene_amean,double
ACTRIS,actris-in-situ,ethene_ExpUnc2s,double
ACTRIS,actris-in-situ,ethene_precision,double
ACTRIS,actris-in-situ,ethyne_amean,double
